"Family","Sample","Platform","Year","BAIT_SET","GENOME_SIZE","BAIT_TERRITORY","TARGET_TERRITORY","BAIT_DESIGN_EFFICIENCY","TOTAL_READS","PF_READS","PF_UNIQUE_READS","PCT_PF_READS","PCT_PF_UQ_READS","PF_UQ_READS_ALIGNED","PCT_PF_UQ_READS_ALIGNED","PF_BASES_ALIGNED","PF_UQ_BASES_ALIGNED","ON_BAIT_BASES","NEAR_BAIT_BASES","OFF_BAIT_BASES","ON_TARGET_BASES","PCT_SELECTED_BASES","PCT_OFF_BAIT","ON_BAIT_VS_SELECTED","MEAN_BAIT_COVERAGE","MEAN_TARGET_COVERAGE","MEDIAN_TARGET_COVERAGE","PCT_USABLE_BASES_ON_BAIT","PCT_USABLE_BASES_ON_TARGET","FOLD_ENRICHMENT","ZERO_CVG_TARGETS_PCT","PCT_EXC_DUPE","PCT_EXC_MAPQ","PCT_EXC_BASEQ","PCT_EXC_OVERLAP","PCT_EXC_OFF_TARGET","FOLD_80_BASE_PENALTY","PCT_TARGET_BASES_1X","PCT_TARGET_BASES_2X","PCT_TARGET_BASES_10X","PCT_TARGET_BASES_20X","PCT_TARGET_BASES_30X","PCT_TARGET_BASES_40X","PCT_TARGET_BASES_50X","PCT_TARGET_BASES_100X","HS_LIBRARY_SIZE","HS_PENALTY_10X","HS_PENALTY_20X","HS_PENALTY_30X","HS_PENALTY_40X","HS_PENALTY_50X","HS_PENALTY_100X","AT_DROPOUT","GC_DROPOUT","HET_SNP_SENSITIVITY","HET_SNP_Q","SAMPLE","LIBRARY","READ_GROUP","PF_BASES","MAX_TARGET_COVERAGE","MIN_TARGET_COVERAGE","PCT_EXC_ADAPTER"
"C","1928",NA,2017,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,22127140,22127140,22127140,1,1,22103262,0.998921,2735303681,2735303681,2008173548,496729553,230400580,1533524163,0.915768,0.084232,0.801697,33.286214,25.418726,19,0.726049,0.554441,39.152251,0.051971,0,0.070811,0.013982,0.171595,0.772058,"3.631247",0.942432,0.930016,0.7425,0.48342,0.315684,0.209782,0.138502,0.012051,NA,0,0,0,0,0,0,22.26515,0.721648,0.904213,10,NA,NA,NA,NA,NA,NA,NA
"C","2338",NA,2018,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,137326266,137326266,137326266,1,1,137169595,0.998859,13815750946,13815750946,8550439585,2562186451,2703124910,7287359804,0.804345,0.195655,0.769435,141.726675,120.790664,107,0.616472,0.525406,33.00464,0.043991,0,0.073087,0.009084,0.078588,0.841464,"2.013178",0.951773,0.950121,0.943031,0.932893,0.916292,0.889639,0.851024,0.544496,NA,0,0,0,0,0,0,10.324163,0.794651,0.94976,13,NA,NA,NA,NA,NA,NA,NA
"D","1128",NA,2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,39852306,39852306,39852306,1,1,39652386,0.994983,3946404586,3946404586,797577457,526294622,2622532507,635915022,0.335463,0.664537,0.602458,12.578366,10.028834,9,0.200133,0.159568,10.254642,0.049659,0,0.110585,0.023727,0.062985,0.804434,"2.507208",0.926281,0.897824,0.444071,0.097974,0.023829,0.008579,0.004133,0.00039,NA,0,0,0,0,0,0,0.147495,14.48838,0.83073,8,NA,NA,NA,NA,NA,NA,NA
"D","1172",NA,2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,42764800,42764800,42764800,1,1,42610174,0.996384,4241381228,4241381228,1068159583,572996711,2600224934,819436239,0.386939,0.613061,0.650858,16.845639,12.923094,11,0.249775,0.191615,12.778447,0.047687,0,0.11805,0.022169,0.090837,0.771288,"2.153849",0.93435,0.917866,0.598117,0.179189,0.052133,0.019392,0.009007,0.000718,NA,0,0,0,0,0,0,0.162361,7.625899,0.876378,9,NA,NA,NA,NA,NA,NA,NA
"D","932",NA,2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,36950708,36950708,36950708,1,1,36798696,0.995886,3663854263,3663854263,944692823,514406083,2204755357,735816987,0.398242,0.601758,0.647449,14.89848,11.604359,10,0.255663,0.199135,13.082829,0.049439,0,0.109224,0.022558,0.085719,0.784686,"2.320872",0.930605,0.909801,0.533223,0.139927,0.037398,0.013439,0.006231,0.000516,NA,0,0,0,0,0,0,0.149034,10.372142,0.858743,8,NA,NA,NA,NA,NA,NA,NA
"D","BW1",NA,2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,40080600,40080600,40080600,1,1,39899123,0.995472,3970955188,3970955188,954382401,575068648,2441504139,752225834,0.385159,0.614841,0.624003,15.051292,11.863138,10,0.238116,0.187678,12.194856,0.049058,0,0.112379,0.024705,0.071445,0.793651,"2.372628",0.932655,0.913668,0.548985,0.1451,0.038848,0.013967,0.006537,0.000591,NA,0,0,0,0,0,0,0.148899,10.097089,0.865135,9,NA,NA,NA,NA,NA,NA,NA
"E","1247","",2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,39006322,39006322,37500027,1,0.961383,37325608,0.995349,3864723581,3715496281,800530454,498967082,2565226045,602167213,0.336246,0.663754,0.616031,12.624937,9.496607,8,0.205231,0.154377,10.510144,0.050894,0.038613,0.104868,0.039742,0.068594,0.592377,"2.374152",0.925691,0.897675,0.416824,0.079615,0.018626,0.006678,0.003182,0.000252,81392041,16.288015,18.474703,21.833962,27.982041,49.92498,-1,0.146672,12.664606,0.795514,7,NA,NA,NA,3900632200,904,0,1e-06
"E","1379","",2019,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,136161410,136161410,120774764,1,0.886997,120389528,0.99681,20137090139,17852452040,14304786010,3740292968,2092011161,7888735999,0.896112,0.103888,0.792725,237.107079,130.758695,124,0.700384,0.386244,37.883116,0.044348,0.113454,0.064835,0.020567,0.243568,0.165845,"1.981192",0.951268,0.949466,0.940392,0.926493,0.908407,0.88593,0.858583,0.639406,236847026,4.558174,4.640026,4.732791,4.8201,4.918322,5.488012,0.565258,5.799598,0.947874,13,NA,NA,NA,20424211500,2590,0,0
"E","1680","",2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,38160036,38160036,36579576,1,0.958583,36430185,0.995916,3783449142,3626444084,822437130,482536170,2478475842,607749433,0.344916,0.655084,0.630233,12.970421,9.584642,8,0.215523,0.159263,11.029709,0.048753,0.041498,0.109989,0.038274,0.07545,0.574162,"2.396161",0.92847,0.901384,0.421361,0.080143,0.019414,0.007129,0.003367,0.000266,77517718,15.978508,18.350378,21.977945,29.233078,-1,-1,0.148109,10.950526,0.799013,7,NA,NA,NA,3816003600,495,0,0
"E","1947","",2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,33848734,33848734,32559036,1,0.961898,32434160,0.996165,3356176754,3228200055,724242936,418808530,2213125288,534994232,0.340581,0.659419,0.633605,11.421828,8.437241,7,0.213965,0.158054,10.949359,0.049063,0.038132,0.112066,0.039232,0.07776,0.57341,"2.812414",0.925854,0.892342,0.345697,0.053971,0.012902,0.004785,0.002222,0.000155,74528648,19.486362,23.404877,30.939426,74.386824,-1,-1,0.148225,10.268304,0.7692,6,NA,NA,NA,3384873400,343,0,0
"E","2253","",2019,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,134572934,134572934,121320121,1,0.901519,120890408,0.996458,19904281276,17935903188,14164044043,3683515353,2056721880,7995859905,0.896669,0.103331,0.793612,234.774229,132.534313,127,0.701679,0.39611,37.949129,0.044628,0.098892,0.064113,0.020295,0.246518,0.168486,"1.920787",0.951087,0.949333,0.941019,0.928566,0.91187,0.891101,0.865431,0.652275,271650002,4.373137,4.437815,4.505187,4.575254,4.6464,5.073271,0.4604,4.590936,0.947857,13,NA,NA,NA,20185940100,2124,0,0
"E","2259","",2019,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,135618132,135618132,118628503,1,0.874725,118276369,0.997032,20015438535,17491824092,14468130793,3528313621,2018994121,7664661124,0.899128,0.100872,0.803944,239.814579,127.044572,123,0.711219,0.376777,38.548578,0.046049,0.126083,0.062891,0.016047,0.258594,0.153469,"1.896188",0.949527,0.947503,0.938734,0.925326,0.907876,0.886205,0.859513,0.635855,209917274,4.412158,4.493616,4.591366,4.689116,4.786865,5.425497,0.328055,5.08628,0.945948,13,NA,NA,NA,20342719800,2557,0,0
"E","44","",2019,"V6r2Sureselect_hg38_interval",3217346917,60330489,60330489,1,145191490,145191490,127332383,1,0.876996,126958020,0.99706,21507805724,18852020708,15195901047,4064999931,2246904746,8394748495,0.895531,0.104469,0.788951,251.877638,139.146038,132,0.697741,0.385456,37.678309,0.044504,0.12348,0.062404,0.018122,0.236348,0.169355,"1.987801",0.951188,0.949334,0.940621,0.927451,0.910594,0.890056,0.865481,0.669084,230081411,4.543249,4.630718,4.712356,4.805656,4.910619,5.498411,0.459895,6.84224,0.947764,13,NA,NA,NA,21778723500,3360,0,0
"E","MS1","",2012,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,37097604,37097604,35583205,1,0.959178,35419308,0.995394,3675921739,3525660137,826652682,521295500,2327973557,625371314,0.366697,0.633303,0.613267,13.036903,9.862552,9,0.222832,0.168575,11.410536,0.049931,0.040877,0.105458,0.040501,0.061047,0.581995,"2.465638",0.927886,0.901577,0.439579,0.088361,0.020791,0.007332,0.003478,0.000285,79834912,15.536126,17.842017,21.428958,28.602841,-1,-1,0.147827,12.446029,0.805138,7,NA,NA,NA,3709760400,624,0,0
"F","4003",NA,2011,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,54826044,54826044,54826044,1,1,54560064,0.995149,5266714599,5266714599,1761065913,655458401,2850190285,1263596537,0.45883,0.54117,0.72876,27.773266,19.927819,11,0.32121,0.230474,16.966219,0.067093,0,0.185032,0.01786,0.118748,0.709108,"9.96391",0.853018,0.820069,0.541842,0.316923,0.196344,0.129526,0.089861,0.023227,NA,0,0,0,0,0,0,5.414427,8.600201,0.776653,7,NA,NA,NA,NA,NA,NA,NA
"F","4004",NA,2011,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,66159868,66159868,66159868,1,1,65818412,0.994839,6383006915,6383006915,2275747258,990561489,3116698168,1705669182,0.511719,0.488281,0.696734,35.890159,26.89962,16,0.343977,0.25781,18.090391,0.066073,0,0.161318,0.020733,0.09694,0.742403,"6.724905",0.872124,0.851365,0.653099,0.440111,0.297179,0.205855,0.146813,0.038637,NA,0,0,0,0,0,0,4.421406,11.248877,0.821431,7,NA,NA,NA,NA,NA,NA,NA
"F","4005",NA,2011,"SeqCap_EZ_Exome_v3_galaxyliftoverhg38_primary_targets_interval",3217346917,63408671,63408671,1,80817180,80817180,80817180,1,1,80467046,0.995668,7869028249,7869028249,2870715174,1331582914,3666730161,2181602518,0.53403,0.46597,0.68313,45.273227,34.405429,24,0.355211,0.269943,18.510504,0.059689,0,0.151715,0.023127,0.079195,0.758293,"4.915061",0.897448,0.884886,0.753668,0.570675,0.415494,0.299771,0.217792,0.055499,NA,0,0,0,0,0,0,8.05433,7.053371,0.86557,9,NA,NA,NA,NA,NA,NA,NA
